Date,"Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС",Цена на арматуру
2015-05-18,265.0,10269.0,10723.0,10454.0,62.0,285.5,65.0,264.0,255.0,263.0,265.0,9234.0,9386.0,270.0,1750.0,12750.0,2600.0,249.5,10539.0,288.0,312.0,297.5,3376.0,2192.0,23.0,24000.0
2015-05-25,263.0,10042.0,9744.0,10315.0,59.0,285.5,64.0,262.0,250.0,265.0,265.0,8990.0,9290.0,272.0,1750.0,12750.0,2600.0,249.5,10383.0,283.0,312.0,297.5,2594.0,2192.0,23.0,23700.0
2015-06-01,262.0,10075.0,9586.0,10333.0,62.0,285.5,65.5,258.0,245.0,265.0,265.0,8704.0,9299.0,270.0,1750.0,12750.0,2600.0,249.5,10210.0,280.0,312.0,297.5,2594.0,1772.0,22.0,23500.0
2015-06-08,261.0,10485.0,9540.0,10268.0,64.0,285.5,66.5,258.0,239.0,265.0,265.0,8833.0,9318.0,272.0,1950.0,13000.0,2760.0,249.5,10158.0,279.0,312.0,297.5,2594.0,1772.0,22.0,23800.0
2015-06-15,261.0,10468.0,8646.0,10225.0,65.0,285.5,69.0,258.0,242.0,265.0,270.0,8812.0,9319.0,271.0,1950.0,13000.0,2760.0,249.5,10156.0,279.0,312.0,297.5,2594.0,1772.0,22.0,24400.0
2015-06-22,257.0,10488.0,8816.0,10232.0,62.0,285.5,66.0,255.0,239.0,265.0,270.0,8867.0,9334.0,268.0,1950.0,13000.0,2760.0,249.5,10122.0,273.0,312.0,297.5,2594.0,1772.0,22.0,25000.0
2015-06-29,237.0,10482.0,8801.0,10245.0,61.0,285.5,64.5,236.0,229.0,265.0,270.0,8818.0,9432.0,266.0,1950.0,13000.0,2760.0,249.5,10099.0,266.0,312.0,297.5,2756.0,1991.0,22.0,25300.0
2015-07-06,224.0,10605.0,8805.0,10417.0,58.0,285.5,63.5,225.0,223.0,265.0,248.0,8877.0,9599.0,259.0,2125.0,13000.0,3025.0,249.5,10115.0,252.0,312.0,297.5,2756.0,1991.0,22.0,25500.0
2015-07-13,219.0,10791.0,8907.0,10682.0,49.0,285.5,57.5,213.0,212.0,265.0,248.0,8963.0,9943.0,255.0,2125.0,13000.0,3025.0,249.5,10072.0,240.0,312.0,297.5,2756.0,1991.0,22.0,25500.0
2015-07-20,201.0,10867.0,8745.0,10880.0,50.0,285.5,58.0,201.0,194.0,265.0,231.0,8993.0,10141.0,245.0,2125.0,13000.0,3025.0,249.5,10014.0,225.0,312.0,297.5,2756.0,1991.0,22.0,25400.0
2015-07-27,201.0,10996.0,8646.0,10883.0,52.0,285.5,59.0,201.0,203.0,265.0,225.0,8939.0,10141.0,245.0,2125.0,13000.0,3025.0,249.5,10013.0,227.0,312.0,297.5,3008.0,2144.0,21.0,25200.0
2015-08-03,208.0,11068.0,8896.0,10838.0,54.0,285.5,61.5,205.0,208.0,265.0,218.0,8830.0,10143.0,240.0,1900.0,13000.0,2750.0,249.5,9974.0,233.0,312.0,297.5,3008.0,2144.0,21.0,25000.0
2015-08-10,215.0,11059.0,8990.0,10840.0,56.0,285.5,63.5,211.0,208.0,255.0,218.0,8770.0,10087.0,245.0,1900.0,13000.0,2750.0,249.5,9934.0,240.0,312.0,297.5,3008.0,2144.0,21.0,24700.0
2015-08-17,211.0,11078.0,9007.0,10823.0,56.0,285.5,63.5,215.0,212.0,255.0,220.0,8755.0,10106.0,245.0,1900.0,13000.0,2750.0,249.5,9960.0,243.0,312.0,297.5,3008.0,2144.0,21.0,24400.0
2015-08-24,204.0,11010.0,8863.0,10853.0,56.0,285.5,63.5,210.0,212.0,250.0,220.0,8795.0,10137.0,240.0,1900.0,13000.0,2750.0,249.5,9953.0,236.0,312.0,297.5,3008.0,2144.0,21.0,24100.0
2015-08-31,211.0,11044.0,9086.0,10841.0,54.0,285.5,62.5,215.0,207.0,248.0,220.0,8862.0,10178.0,235.0,1900.0,13000.0,2750.0,249.5,10004.0,231.0,312.0,297.5,2745.0,1910.0,21.0,24100.0
2015-09-07,201.0,11159.0,9299.0,10961.0,56.0,285.5,63.5,200.0,202.0,236.0,210.0,8939.0,10233.0,230.0,2000.0,14000.0,2900.0,249.5,10232.0,220.0,312.0,297.5,2745.0,1910.0,21.0,23900.0
2015-09-14,184.0,11210.0,9282.0,10946.0,58.0,285.5,64.5,189.0,183.0,236.0,205.0,8923.0,10212.0,210.0,2000.0,14000.0,2900.0,249.5,10374.0,206.0,312.0,297.5,2745.0,1910.0,21.0,24200.0
2015-09-21,180.0,11237.0,9206.0,10949.0,57.0,285.5,64.0,188.0,181.0,236.0,205.0,8887.0,10201.0,210.0,2000.0,14000.0,2900.0,249.5,10411.0,202.0,312.0,297.5,2745.0,1910.0,21.0,24200.0
2015-09-28,170.0,11367.0,9585.0,10718.0,57.0,285.5,64.0,178.0,172.0,231.0,198.0,8969.0,10024.0,205.0,2000.0,14000.0,2900.0,249.5,10458.0,194.0,312.0,297.5,2949.0,2018.0,22.0,24000.0
2015-10-05,165.0,11357.0,9553.0,10670.0,55.0,285.5,62.0,175.0,165.0,216.0,188.0,9209.0,10043.0,195.0,2150.0,14000.0,3225.0,249.5,10474.0,187.0,312.0,297.5,2949.0,2018.0,22.0,24000.0
2015-10-12,154.0,11310.0,9574.0,10531.0,55.0,285.5,62.0,167.0,163.0,216.0,183.0,9382.0,9928.0,190.0,2150.0,14000.0,3225.0,249.5,10552.0,178.0,312.0,297.5,2949.0,2018.0,22.0,23800.0
2015-10-19,153.0,11182.0,9554.0,10400.0,55.0,285.5,62.0,159.0,154.0,205.0,183.0,9316.0,9746.0,175.0,2150.0,14000.0,3225.0,249.5,10620.0,170.0,312.0,297.5,2949.0,2018.0,22.0,23800.0
2015-10-26,154.0,11052.0,9582.0,10384.0,52.0,285.5,59.0,158.0,151.0,189.0,173.0,9354.0,9679.0,180.0,2150.0,14000.0,3225.0,249.5,10652.0,173.0,312.0,297.5,3307.0,2178.0,22.0,24200.0
2015-11-02,167.0,10624.0,9485.0,10008.0,50.0,285.5,58.0,164.0,158.0,189.0,173.0,9444.0,9242.0,185.0,2150.0,14000.0,3225.0,249.5,10625.0,186.0,312.0,297.5,3307.0,2178.0,22.0,24500.0
2015-11-09,174.0,10529.0,9195.0,9850.0,48.0,285.5,59.5,178.0,166.0,181.0,173.0,9236.0,8991.0,185.0,2150.0,11000.0,3225.0,249.5,10437.0,195.0,312.0,297.5,3307.0,2178.0,22.0,24500.0
2015-11-16,182.0,10142.0,8938.0,9541.0,48.0,285.5,57.5,180.0,175.0,181.0,173.0,9053.0,8618.0,190.0,2150.0,11000.0,3225.0,249.5,10356.0,200.0,312.0,297.5,3307.0,2178.0,22.0,23950.0
2015-11-23,181.0,9428.0,8844.0,9154.0,46.0,285.5,54.5,179.0,173.0,181.0,173.0,8416.0,8259.0,190.0,2150.0,11000.0,3225.0,249.5,9808.0,196.0,312.0,297.5,3307.0,2178.0,22.0,23750.0
2015-11-30,180.0,9133.0,8878.0,9052.0,44.0,285.5,51.5,179.0,168.0,183.0,173.0,8036.0,8160.0,185.0,2150.0,11000.0,3225.0,249.5,9381.0,191.0,312.0,297.5,3150.0,2112.0,22.0,23100.0
2015-12-07,176.0,9103.0,8660.0,9138.0,41.0,285.5,52.5,178.0,163.0,183.0,173.0,8002.0,8112.0,180.0,1925.0,11000.0,2825.0,249.5,9350.0,190.0,312.0,297.5,3150.0,2112.0,22.0,22800.0
2015-12-14,176.0,9143.0,8330.0,9142.0,39.0,285.5,50.5,178.0,161.0,183.0,173.0,8067.0,8115.0,180.0,1925.0,11000.0,2825.0,249.5,9326.0,187.0,312.0,297.5,3150.0,2112.0,22.0,22000.0
2015-12-21,174.0,9268.0,8016.0,9135.0,39.0,285.5,51.5,175.0,160.0,183.0,173.0,7813.0,8050.0,180.0,1925.0,11000.0,2825.0,249.5,8888.0,187.0,312.0,297.5,3150.0,2112.0,22.0,21700.0
2015-12-28,172.0,9337.0,8134.0,9116.0,40.0,285.5,52.5,168.0,158.0,183.0,173.0,7638.0,8064.0,180.0,1925.0,11000.0,2825.0,249.5,8934.0,186.0,312.0,297.5,2826.0,1884.0,22.0,21300.0
2016-01-04,172.0,9332.0,8077.0,9095.0,42.0,285.5,54.5,168.0,160.0,183.0,173.0,7554.0,8067.0,180.0,1925.0,11000.0,2825.0,249.5,8973.0,189.0,312.0,297.5,2826.0,1884.0,22.0,21300.0
2016-01-11,173.0,9428.0,8058.0,9221.0,42.0,285.5,54.5,174.0,160.0,183.0,173.0,7439.0,7826.0,185.0,1650.0,11000.0,2525.0,249.5,8963.0,188.0,312.0,297.5,2826.0,1884.0,22.0,21300.0
2016-01-18,173.0,9240.0,8387.0,9089.0,40.0,285.5,53.5,175.0,159.0,183.0,173.0,7538.0,8090.0,190.0,1650.0,11000.0,2525.0,249.5,8981.0,186.0,312.0,297.5,2826.0,1884.0,22.0,21200.0
2016-01-25,172.0,9272.0,8361.0,9126.0,42.0,285.5,54.0,174.0,156.0,183.0,174.0,7649.0,8176.0,190.0,1650.0,11000.0,2525.0,249.5,9023.0,181.0,312.0,297.5,2826.0,1884.0,22.0,21000.0
2016-02-01,165.0,9339.0,8860.0,9231.0,42.0,285.5,54.0,168.0,153.0,183.0,177.0,7650.0,8247.0,190.0,1650.0,11000.0,2525.0,249.5,9067.0,177.0,312.0,297.5,2456.0,1751.0,22.0,21000.0
2016-02-08,165.0,9249.0,9094.0,9428.0,44.0,285.5,48.5,167.0,150.0,181.0,177.0,7916.0,8366.0,185.0,1725.0,11700.0,2525.0,249.5,9011.0,176.0,312.0,297.5,2456.0,1751.0,22.0,21000.0
2016-02-15,164.0,9442.0,9094.0,9540.0,44.0,285.5,48.5,168.0,148.0,185.0,176.0,8037.0,8502.0,185.0,1725.0,11700.0,2525.0,249.5,9224.0,175.0,312.0,297.5,2456.0,1751.0,22.0,21200.0
2016-02-22,166.0,9335.0,9177.0,9664.0,47.0,285.5,50.0,170.0,150.0,187.0,177.0,8163.0,8603.0,187.0,1725.0,11700.0,2525.0,249.5,9232.0,175.0,312.0,297.5,2456.0,1751.0,22.0,21800.0
2016-02-29,177.0,9408.0,8899.0,9745.0,50.0,285.5,53.0,182.0,160.0,188.0,177.0,8007.0,8729.0,189.0,1725.0,11700.0,2525.0,249.5,9276.0,188.0,312.0,297.5,2596.0,1828.0,21.0,22450.0
2016-03-07,189.0,9437.0,9266.0,9724.0,51.0,285.5,57.5,190.0,169.0,192.0,182.0,7993.0,8760.0,210.0,1875.0,12300.0,2850.0,249.5,9373.0,195.0,312.0,297.5,2596.0,1828.0,21.0,23300.0
2016-03-14,203.0,9887.0,8946.0,9729.0,60.0,285.5,61.0,206.0,186.0,193.0,200.0,8604.0,9023.0,210.0,1875.0,12300.0,2850.0,249.5,9501.0,208.0,312.0,297.5,2596.0,1828.0,21.0,23800.0
2016-03-21,214.0,9933.0,8800.0,10195.0,55.0,285.5,60.0,215.0,191.0,190.0,210.0,8865.0,9462.0,240.0,1875.0,12300.0,2850.0,249.5,9711.0,220.0,312.0,297.5,2596.0,1828.0,21.0,25500.0
2016-03-28,217.0,9990.0,8900.0,10444.0,57.0,285.5,61.0,217.0,200.0,214.0,228.0,8942.0,9745.0,250.0,1875.0,12300.0,2850.0,249.5,9836.0,227.0,312.0,297.5,2818.0,2001.0,21.0,26700.0
2016-04-04,225.0,9901.0,8700.0,10595.0,54.0,285.5,63.0,229.0,208.0,236.0,238.0,9096.0,9847.0,250.0,1875.0,12300.0,2850.0,249.5,9847.0,232.0,312.0,297.5,2818.0,2001.0,21.0,29900.0
2016-04-11,240.0,10292.0,9006.0,10673.0,54.0,285.5,63.0,244.0,223.0,241.0,243.0,9097.0,9857.0,260.0,2275.0,14200.0,3325.0,249.5,10284.0,258.0,312.0,297.5,2818.0,2001.0,21.0,29950.0
2016-04-18,257.0,10153.0,8701.0,10732.0,59.0,285.5,66.5,261.0,242.0,244.0,248.0,9268.0,9924.0,275.0,2275.0,14200.0,3325.0,249.5,10461.0,268.0,312.0,297.5,2818.0,2001.0,21.0,31500.0
2016-04-25,274.0,10120.0,8760.0,11019.0,65.0,285.5,69.5,277.0,255.0,251.0,268.0,9717.0,10402.0,295.0,2275.0,14200.0,3325.0,249.5,10579.0,293.0,312.0,297.5,2818.0,2001.0,21.0,31900.0
2016-05-02,289.0,10471.0,8734.0,11567.0,64.0,285.5,69.0,289.0,271.0,288.0,275.0,10325.0,10849.0,325.0,2275.0,14200.0,3325.0,249.5,10763.0,309.0,312.0,297.5,3506.0,2304.0,22.0,40300.0
2016-05-09,309.0,11395.0,8788.0,11860.0,60.0,285.5,67.5,315.0,288.0,295.0,305.0,10585.0,11034.0,325.0,2250.0,19500.0,3275.0,249.5,10978.0,327.0,312.0,297.5,3506.0,2304.0,22.0,43500.0
2016-05-16,299.0,12611.0,10887.0,12128.0,55.0,285.5,65.0,306.0,271.0,295.0,285.0,10986.0,11282.0,315.0,2250.0,19500.0,3275.0,249.5,11980.0,299.0,312.0,297.5,3506.0,2304.0,22.0,43350.0
2016-05-23,289.0,12380.0,10862.0,12196.0,55.0,285.5,65.0,302.0,254.0,295.0,270.0,11022.0,11403.0,285.0,2250.0,19500.0,3275.0,249.5,12248.0,296.0,312.0,297.5,3506.0,2304.0,22.0,42950.0
2016-05-30,274.0,12420.0,10793.0,12443.0,51.0,285.5,60.0,288.0,199.0,292.0,250.0,11457.0,11810.0,280.0,2250.0,19500.0,3275.0,249.5,12613.0,275.0,312.0,297.5,3434.0,2284.0,22.0,42000.0
2016-06-06,251.0,12587.0,11245.0,12890.0,51.0,285.5,60.0,254.0,195.0,290.0,230.0,11276.0,11984.0,265.0,2375.0,17750.0,3350.0,249.5,12801.0,255.0,312.0,297.5,3434.0,2284.0,22.0,38300.0
2016-06-13,216.0,12587.0,11222.0,12802.0,52.0,285.5,68.5,217.0,198.0,286.0,225.0,11296.0,11884.0,245.0,2375.0,17750.0,3350.0,249.5,12570.0,232.0,312.0,297.5,3434.0,2284.0,22.0,37500.0
2016-06-20,211.0,12827.0,11117.0,12540.0,51.0,285.5,68.0,215.0,193.0,288.0,233.0,11213.0,11643.0,250.0,2375.0,17750.0,3350.0,249.5,12311.0,228.0,312.0,297.5,3434.0,2284.0,22.0,36800.0
2016-06-27,211.0,12750.0,11051.0,12171.0,51.0,285.5,68.0,222.0,194.0,288.0,233.0,11015.0,11323.0,250.0,2375.0,17750.0,3350.0,249.5,12160.0,221.0,312.0,297.5,3541.0,2373.0,22.0,35400.0
2016-07-04,203.0,12157.0,9292.0,12045.0,54.0,285.5,69.0,207.0,193.0,253.0,233.0,10216.0,10824.0,240.0,2375.0,17750.0,3350.0,249.5,11178.0,217.0,312.0,297.5,3541.0,2373.0,22.0,34400.0
2016-07-11,202.0,11872.0,9427.0,11352.0,56.0,285.5,62.5,203.0,185.0,245.0,226.0,9895.0,10444.0,245.0,2025.0,15900.0,3075.0,249.5,11159.0,212.0,312.0,297.5,3541.0,2373.0,22.0,33400.0
2016-07-18,202.0,11488.0,9273.0,11350.0,58.0,285.5,63.5,204.0,187.0,250.0,226.0,9705.0,10419.0,245.0,2025.0,15900.0,3075.0,249.5,11023.0,218.0,312.0,297.5,3541.0,2373.0,22.0,32500.0
2016-07-25,210.0,11392.0,9242.0,11269.0,56.0,285.5,62.5,208.0,200.0,250.0,226.0,9524.0,10193.0,250.0,2025.0,15900.0,3075.0,249.5,11030.0,225.0,312.0,297.5,3541.0,2373.0,22.0,32000.0
2016-08-01,213.0,11309.0,9162.0,11248.0,59.0,285.5,63.5,217.0,201.0,248.0,226.0,9532.0,10197.0,250.0,2025.0,15900.0,3075.0,249.5,10479.0,229.0,312.0,297.5,2930.0,1987.0,23.0,31000.0
2016-08-08,212.0,11239.0,9446.0,11230.0,60.0,285.5,69.0,217.0,201.0,250.0,228.0,9593.0,10411.0,245.0,2050.0,14750.0,3225.0,249.5,10607.0,229.0,312.0,297.5,2930.0,1987.0,23.0,30200.0
2016-08-15,213.0,11354.0,9424.0,11421.0,61.0,285.5,69.5,217.0,197.0,245.0,228.0,9971.0,10515.0,250.0,2050.0,14750.0,3225.0,249.5,10802.0,228.0,312.0,297.5,2930.0,1987.0,23.0,29200.0
2016-08-22,208.0,11519.0,9446.0,11509.0,61.0,285.5,69.5,217.0,200.0,245.0,225.0,10190.0,10607.0,255.0,2050.0,14750.0,3225.0,249.5,10858.0,224.0,312.0,297.5,2930.0,1987.0,23.0,28850.0
2016-08-29,216.0,11484.0,10509.0,11664.0,61.0,285.5,69.5,217.0,195.0,250.0,225.0,10287.0,10750.0,255.0,2050.0,14750.0,3225.0,249.5,11265.0,225.0,312.0,297.5,3232.0,2123.0,23.0,28700.0
2016-09-05,210.0,11336.0,10694.0,11876.0,59.0,285.5,70.0,217.0,196.0,250.0,226.0,10344.0,11036.0,255.0,2350.0,14750.0,3525.0,249.5,11689.0,225.0,312.0,297.5,3232.0,2123.0,23.0,28500.0
2016-09-12,209.0,11512.0,10918.0,12191.0,59.0,285.5,70.0,217.0,191.0,250.0,225.0,10542.0,11352.0,255.0,2350.0,14750.0,3525.0,249.5,12011.0,223.0,312.0,297.5,3232.0,2123.0,23.0,30000.0
2016-09-19,208.0,11489.0,11193.0,12420.0,56.0,285.5,68.0,212.0,188.0,248.0,236.0,10720.0,11495.0,245.0,2350.0,14750.0,3525.0,249.5,12257.0,218.0,312.0,297.5,3232.0,2123.0,23.0,32000.0
2016-09-26,204.0,11403.0,11153.0,12568.0,56.0,285.5,68.0,209.0,188.0,248.0,230.0,10937.0,11623.0,250.0,2350.0,14750.0,3525.0,249.5,12321.0,210.0,312.0,297.5,3567.0,2298.0,22.0,32500.0
2016-10-03,196.0,11612.0,11111.0,12591.0,56.0,285.5,69.0,196.0,181.0,248.0,223.0,11062.0,11721.0,243.0,2350.0,14750.0,3525.0,249.5,12279.0,210.0,312.0,297.5,3567.0,2298.0,22.0,33300.0
2016-10-10,201.0,12954.0,11304.0,13005.0,55.0,285.5,70.0,203.0,186.0,243.0,223.0,11807.0,12201.0,235.0,2375.0,13400.0,3435.0,249.5,13247.0,215.0,312.0,297.5,3567.0,2298.0,22.0,34300.0
2016-10-17,206.0,12869.0,11273.0,13017.0,57.0,285.5,71.5,208.0,194.0,243.0,223.0,11839.0,12182.0,240.0,2375.0,13400.0,3435.0,249.5,13132.0,220.0,312.0,297.5,3567.0,2298.0,22.0,33700.0
2016-10-24,213.0,12672.0,11552.0,12976.0,59.0,285.5,73.5,217.0,208.0,235.0,228.0,11878.0,12203.0,250.0,2375.0,13400.0,3435.0,249.5,13125.0,228.0,312.0,297.5,3567.0,2298.0,22.0,32200.0
2016-10-31,221.0,12716.0,11786.0,12682.0,62.0,285.5,74.5,221.0,206.0,235.0,228.0,11589.0,11917.0,270.0,2375.0,13400.0,3435.0,249.5,12621.0,235.0,312.0,297.5,3509.0,2330.0,22.0,30400.0
2016-11-07,237.0,12660.0,11792.0,12548.0,65.0,285.5,76.5,240.0,213.0,249.0,233.0,11729.0,11819.0,290.0,2425.0,13900.0,3300.0,249.5,12713.0,253.0,312.0,297.5,3509.0,2330.0,22.0,30200.0
2016-11-14,252.0,12564.0,11584.0,12483.0,72.0,285.5,77.5,255.0,236.0,249.0,260.0,11742.0,11800.0,315.0,2425.0,13900.0,3300.0,249.5,12866.0,269.0,312.0,297.5,3509.0,2330.0,22.0,29800.0
2016-11-21,255.0,12917.0,11719.0,12729.0,74.0,285.5,78.5,262.0,240.0,278.0,273.0,11858.0,12108.0,325.0,2425.0,13900.0,3300.0,249.5,12932.0,272.0,312.0,297.5,3509.0,2330.0,22.0,33500.0
2016-11-28,250.0,13434.0,11561.0,13377.0,76.0,285.5,79.5,261.0,236.0,278.0,273.0,12196.0,12556.0,320.0,2425.0,13900.0,3300.0,249.5,13254.0,270.0,312.0,297.5,3303.0,2129.0,22.0,33500.0
2016-12-05,248.0,13500.0,11894.0,13950.0,77.0,285.5,83.0,259.0,233.0,275.0,271.0,12873.0,13021.0,315.0,3175.0,16800.0,4600.0,249.5,13702.0,268.0,312.0,297.5,3303.0,2129.0,22.0,33500.0
